unix_ms,event_type,title,description,x,y,z
1701917033326,Simulation,Trial 1 Start,,0,0,0
1701917033357,Player,position,-,0,0,0
1701917033357,Player,orientation,,0,0,0
1701917033357,Global Eye Tracking,Left,,0,0,0
1701917033357,Global Eye Tracking,Right,,0,0,0
1701917033601,Player,position,-,-1.610943,1.705716,3.6966
1701917033601,Player,orientation,,352.3591,357.1976,357.1309
1701917033601,Global Eye Tracking,Left,,0,0,100
1701917033601,Global Eye Tracking,Right,,0,0,100
1701917033711,Player,position,-,-1.611297,1.705747,3.696688
1701917033711,Player,orientation,,352.3451,357.175,357.1425
1701917033711,Global Eye Tracking,Left,,-3.222089,0.4565754,103.6747
1701917033711,Global Eye Tracking,Right,,-8.560033,0.7207031,103.4498
1701917033850,Player,position,-,-1.611803,1.705671,3.697147
1701917033850,Player,orientation,,352.3776,357.1497,357.1792
1701917033850,Global Eye Tracking,Left,,0.7605898,1.260051,103.6654
1701917033850,Global Eye Tracking,Right,,-4.575104,1.522458,103.6538
1701917033963,Player,position,-,-1.612424,1.705503,3.697812
1701917033963,Player,orientation,,352.4444,357.0233,357.2558
1701917033963,Global Eye Tracking,Left,,0.9218405,0.655382,103.6573
1701917033963,Global Eye Tracking,Right,,-4.413194,0.9103529,103.6563
1701917034066,Player,position,-,-1.612598,1.705359,3.698377
1701917034066,Player,orientation,,352.484,356.982,357.325
1701917034066,Global Eye Tracking,Left,,0.5789123,1.336434,103.671
1701917034066,Global Eye Tracking,Right,,-4.757189,1.585866,103.6496
1701917034178,Player,position,-,-1.61225,1.705392,3.698974
1701917034178,Player,orientation,,352.4868,357.0946,357.2296
1701917034178,Global Eye Tracking,Left,,0.6986774,1.028956,103.6672
1701917034178,Global Eye Tracking,Right,,-4.636909,1.280197,103.6531
1701917034291,Player,position,-,-1.611992,1.705403,3.699396
1701917034291,Player,orientation,,352.4713,357.093,357.2417
1701917034291,Global Eye Tracking,Left,,0.3591505,1.589393,103.6775
1701917034291,Global Eye Tracking,Right,,-4.977874,1.844237,103.6434
1701917034402,Player,position,-,-1.611719,1.705324,3.699675
1701917034402,Player,orientation,,352.4902,357.1437,357.2099
1701917034402,Global Eye Tracking,Left,,0.6367781,1.654107,103.6718
1701917034402,Global Eye Tracking,Right,,-4.699045,1.912582,103.6527
1701917034513,Player,position,-,-1.611506,1.705351,3.699881
1701917034513,Player,orientation,,352.459,357.2087,357.1234
1701917034513,Global Eye Tracking,Left,,0.4295399,1.937581,103.6764
1701917034513,Global Eye Tracking,Right,,-4.907188,2.200208,103.6451
1701917034625,Player,position,-,-1.611716,1.70541,3.700047
1701917034625,Player,orientation,,352.4253,357.153,357.1941
1701917034625,Global Eye Tracking,Left,,0.4342405,2.471977,103.6738
1701917034625,Global Eye Tracking,Right,,-4.902336,2.737228,103.6414
1701917034736,Player,position,-,-1.611969,1.705539,3.700219
1701917034736,Player,orientation,,352.3543,357.0772,357.2001
