unix_ms,event_type,title,description,x,y,z
1701916817934,Simulation,Trial 1 Start,,0,0,0
1701916817969,Player,position,-,0,0,0
1701916817969,Player,orientation,,0,0,0
1701916817969,Global Eye Tracking,Left,,0,0,0
1701916817969,Global Eye Tracking,Right,,0,0,0
1701916818223,Player,position,-,-0.03414275,1.709642,-0.1173522
1701916818223,Player,orientation,,348.6536,355.8444,357.2924
1701916818223,Global Eye Tracking,Left,,0,0,100
1701916818223,Global Eye Tracking,Right,,0,0,100
1701916818334,Player,position,-,-0.0341305,1.710119,-0.116564
1701916818334,Player,orientation,,348.4873,355.9706,357.3074
1701916818334,Global Eye Tracking,Left,,-0.9237435,17.96927,98.54633
1701916818334,Global Eye Tracking,Right,,-6.257209,18.24754,98.31002
1701916818445,Player,position,-,-0.03363524,1.710028,-0.1155777
1701916818445,Player,orientation,,348.5802,356.304,357.2889
1701916818445,Global Eye Tracking,Left,,0.03753304,14.1422,99.10581
1701916818445,Global Eye Tracking,Right,,-5.296782,14.42161,98.93362
1701916818556,Player,position,-,-0.03345013,1.709319,-0.114485
1701916818556,Player,orientation,,348.9235,356.2651,357.2635
1701916818556,Global Eye Tracking,Left,,0.7138361,14.49062,99.05975
1701916818556,Global Eye Tracking,Right,,-4.620479,14.77196,98.9229
1701916818668,Player,position,-,-0.03318771,1.709283,-0.1136003
1701916818668,Player,orientation,,349.0288,356.275,357.1507
1701916818668,Global Eye Tracking,Left,,-0.2110111,7.743695,99.70161
1701916818668,Global Eye Tracking,Right,,-5.546315,8.015513,99.53535
1701916818779,Player,position,-,-0.03363982,1.709246,-0.1132102
1701916818779,Player,orientation,,348.9854,356.0179,357.2826
1701916818779,Global Eye Tracking,Left,,-0.2313885,6.792573,99.75497
1701916818779,Global Eye Tracking,Right,,-5.566436,7.062404,99.59055
1701916818890,Player,position,-,-0.03417276,1.708932,-0.1133384
1701916818890,Player,orientation,,349.1354,355.8411,357.3364
1701916818890,Global Eye Tracking,Left,,-0.3383266,8.138353,99.67709
1701916818890,Global Eye Tracking,Right,,-5.672641,8.401078,99.50393
1701916819002,Player,position,-,-0.03428013,1.708782,-0.1135303
1701916819002,Player,orientation,,349.2035,355.9387,357.3736
1701916819002,Global Eye Tracking,Left,,-0.5510653,7.253198,99.72928
1701916819002,Global Eye Tracking,Right,,-5.885972,7.508716,99.54742
1701916819114,Player,position,-,-0.03444931,1.708948,-0.11391
1701916819114,Player,orientation,,349.1043,355.8483,357.3737
1701916819114,Global Eye Tracking,Left,,-0.6269376,8.573093,99.64657
1701916819114,Global Eye Tracking,Right,,-5.9618,8.830791,99.45686
1701916819225,Player,position,-,-0.03429013,1.708916,-0.1144427
1701916819225,Player,orientation,,349.0667,355.8041,357.3063
1701916819225,Global Eye Tracking,Left,,-7.37116,-5.012829,99.38941
1701916819225,Global Eye Tracking,Right,,-12.68909,-4.76529,98.86923
1701916819336,Player,position,-,-0.03415173,1.708792,-0.114824
1701916819336,Player,orientation,,349.1482,355.7911,357.1661
1701916819336,Global Eye Tracking,Left,,-7.157909,-5.615853,99.36182
1701916819336,Global Eye Tracking,Right,,-12.47671,-5.353418,98.85562
1701916819448,Player,position,-,-0.03538147,1.708424,-0.1145987
1701916819448,Player,orientation,,349.3861,355.2471,357.3902
1701916819448,Global Eye Tracking,Left,,-3.14151,6.801805,99.70559
1701916819448,Global Eye Tracking,Right,,-8.473601,7.062828,99.3846
1701916819559,Player,position,-,-0.04049877,1.707744,-0.1142778
1701916819559,Player,orientation,,349.7762,352.7102,358.0946
1701916819559,Global Eye Tracking,Left,,-6.748469,7.129956,99.51175
1701916819559,Global Eye Tracking,Right,,-12.06931,7.332876,98.99946
1701916819670,Player,position,-,-0.05226963,1.707061,-0.1152857
1701916819670,Player,orientation,,350.1584,345.8472,358.463
1701916819670,Global Eye Tracking,Left,,-50.06309,14.33399,85.56533
1701916819670,Global Eye Tracking,Right,,-54.30133,14.24679,82.93134
1701916819782,Player,position,-,-0.06625496,1.707036,-0.1184338
