unix_ms,event_type,title,description,x,y,z
1701917257972,Simulation,Trial 1 Start,,0,0,0
1701917258019,Player,position,-,0,0,0
1701917258019,Player,orientation,,0,0,0
1701917258019,Global Eye Tracking,Left,,0,0,0
1701917258019,Global Eye Tracking,Right,,0,0,0
1701917258261,Player,position,-,-0.02620969,1.692639,0.02661183
1701917258261,Player,orientation,,355.7144,359.6215,355.9727
1701917258261,Global Eye Tracking,Left,,0,0,100
1701917258261,Global Eye Tracking,Right,,0,0,100
1701917258372,Player,position,-,-0.02650021,1.692496,0.02640207
1701917258372,Player,orientation,,355.8017,359.5043,356.0197
1701917258372,Global Eye Tracking,Left,,-2.046806,1.724624,100.0065
1701917258372,Global Eye Tracking,Right,,-7.374254,2.099391,99.75352
1701917258481,Player,position,-,-0.02694006,1.692358,0.02634901
1701917258481,Player,orientation,,355.852,359.3726,356.0996
1701917258481,Global Eye Tracking,Left,,3.156088,-0.5928762,99.9482
1701917258481,Global Eye Tracking,Right,,-2.179976,-0.2302598,99.98469
1701917258594,Player,position,-,-0.02692248,1.692435,0.02624699
1701917258594,Player,orientation,,355.8165,359.4038,356.1061
1701917258594,Global Eye Tracking,Left,,3.408079,-1.480107,99.91537
1701917258594,Global Eye Tracking,Right,,-1.927516,-1.12096,99.96876
1701917258705,Player,position,-,-0.02674587,1.692625,0.0262372
1701917258705,Player,orientation,,355.7516,359.4401,356.0792
1701917258705,Global Eye Tracking,Left,,4.26987,-0.9669003,99.89668
1701917258705,Global Eye Tracking,Right,,-1.06409,-0.6096673,99.99468
1701917258816,Player,position,-,-0.02627181,1.692555,0.02632202
1701917258816,Player,orientation,,355.8323,359.4987,356.1119
1701917258816,Global Eye Tracking,Left,,4.34008,-0.08150053,99.91332
1701917258816,Global Eye Tracking,Right,,-0.9936036,0.2805194,100.0119
1701917258928,Player,position,-,-0.02557571,1.692501,0.02683377
1701917258928,Player,orientation,,355.8345,359.4518,356.0962
1701917258928,Global Eye Tracking,Left,,4.423757,-1.435752,99.87674
1701917258928,Global Eye Tracking,Right,,-0.9097484,-1.078411,99.9847
1701917259039,Player,position,-,-0.02320956,1.692372,0.0284181
1701917259039,Player,orientation,,355.8394,359.2734,356.2188
1701917259039,Global Eye Tracking,Left,,3.63925,-0.7664099,99.92844
1701917259039,Global Eye Tracking,Right,,-1.696434,-0.4117041,99.99144
1701917259150,Player,position,-,-0.01464562,1.692724,0.03400311
1701917259150,Player,orientation,,355.8489,358.9874,356.1978
1701917259150,Global Eye Tracking,Left,,4.02422,-0.2559119,99.92745
1701917259150,Global Eye Tracking,Right,,-1.310186,0.09064329,100.0095
1701917259262,Player,position,-,0.004010454,1.689358,0.04632817
1701917259262,Player,orientation,,357.425,359.3524,356.0139
1701917259262,Global Eye Tracking,Left,,4.582601,-9.401311,99.31586
1701917259262,Global Eye Tracking,Right,,-0.7489884,-9.059644,99.45938
1701917259373,Player,position,-,0.02846191,1.68576,0.0650659
1701917259373,Player,orientation,,358.655,359.364,355.8897
1701917259373,Global Eye Tracking,Left,,13.46622,-8.972592,98.56691
1701917259373,Global Eye Tracking,Right,,8.204916,-8.667328,99.18377
1701917259484,Player,position,-,0.05370487,1.684536,0.08930945
1701917259484,Player,orientation,,359.0388,358.4842,356.0287
1701917259484,Global Eye Tracking,Left,,12.90384,-9.124394,98.6482
1701917259484,Global Eye Tracking,Right,,7.638936,-8.819284,99.23435
1701917259596,Player,position,-,0.07687667,1.681037,0.1162639
1701917259596,Player,orientation,,359.283,357.416,355.9638
1701917259596,Global Eye Tracking,Left,,10.07909,-10.2331,98.8829
1701917259596,Global Eye Tracking,Right,,4.794235,-9.940441,99.31893
1701917259708,Player,position,-,0.09174678,1.679553,0.1463093
1701917259708,Player,orientation,,359.7894,356.4874,355.2179
1701917259708,Global Eye Tracking,Left,,-3.747431,-11.20677,99.22276
1701917259708,Global Eye Tracking,Right,,-9.072304,-10.7856,98.92709
1701917259818,Player,position,-,0.09661131,1.679123,0.1851874
1701917259818,Player,orientation,,358.7462,356.2485,355.3858
1701917259818,Global Eye Tracking,Left,,-3.802084,-9.359134,99.47272
1701917259818,Global Eye Tracking,Right,,-9.125234,-8.924741,99.16859
1701917259930,Player,position,-,0.08930474,1.672681,0.2372959
1701917259930,Player,orientation,,357.9071,356.5718,355.7681
1701917259930,Global Eye Tracking,Left,,-3.533545,-10.49603,99.40483
1701917259930,Global Eye Tracking,Right,,-8.859741,-10.09047,99.11626
1701917260042,Player,position,-,0.06732225,1.665276,0.3020779
