unix_ms,event_type,title,description,x,y,z
1701916649698,Simulation,Trial 1 Start,,0,0,0
1701916649730,Player,position,-,0,0,0
1701916649730,Player,orientation,,0,0,0
1701916649730,Global Eye Tracking,Left,,0,0,0
1701916649730,Global Eye Tracking,Right,,0,0,0
1701916649984,Player,position,-,-0.001863971,1.699441,-0.0833455
1701916649984,Player,orientation,,354.4998,354.4838,357.3011
1701916649984,Global Eye Tracking,Left,,0,0,100
1701916649984,Global Eye Tracking,Right,,0,0,100
1701916650091,Player,position,-,0.009876246,1.699131,-0.08561747
1701916650091,Player,orientation,,354.6856,1.542383,358.1539
1701916650091,Global Eye Tracking,Left,,5.540921,22.08366,97.65637
1701916650091,Global Eye Tracking,Right,,0.21018,22.36843,97.75728
1701916650191,Player,position,-,0.01516388,1.698518,-0.08828921
1701916650191,Player,orientation,,354.9713,4.913021,358.5942
1701916650191,Global Eye Tracking,Left,,19.25203,10.6698,97.62974
1701916650191,Global Eye Tracking,Right,,14.008,10.86435,98.50645
1701916650306,Player,position,-,0.01265299,1.698609,-0.09077002
1701916650306,Player,orientation,,354.9909,3.289614,358.1566
1701916650306,Global Eye Tracking,Left,,8.351535,15.3113,98.62833
1701916650306,Global Eye Tracking,Right,,3.012657,15.43491,98.91565
1701916650410,Player,position,-,0.00956659,1.699205,-0.09241675
1701916650410,Player,orientation,,354.7332,1.053991,358.014
1701916650410,Global Eye Tracking,Left,,5.104213,4.53556,99.73871
1701916650410,Global Eye Tracking,Right,,-0.2400544,4.7104,99.86172
1701916650510,Player,position,-,0.006510627,1.699677,-0.09371571
1701916650510,Player,orientation,,354.5666,359.0681,358.2555
1701916650510,Global Eye Tracking,Left,,2.811067,1.271195,99.86648
1701916650510,Global Eye Tracking,Right,,-2.535589,1.449412,99.8737
1701916650621,Player,position,-,0.004206669,1.700096,-0.09475979
1701916650621,Player,orientation,,354.3742,357.5798,358.5055
1701916650621,Global Eye Tracking,Left,,0.6756657,2.193086,99.90099
1701916650621,Global Eye Tracking,Right,,-4.670311,2.339902,99.79405
1701916650732,Player,position,-,0.00434009,1.700169,-0.09519564
1701916650732,Player,orientation,,354.422,357.3008,358.3994
1701916650732,Global Eye Tracking,Left,,1.956543,2.741374,99.87843
1701916650732,Global Eye Tracking,Right,,-3.386597,2.886209,99.84102
1701916650843,Player,position,-,0.004620414,1.69978,-0.09508683
1701916650843,Player,orientation,,354.6277,357.1749,358.3473
1701916650843,Global Eye Tracking,Left,,2.088644,2.009636,99.88049
1701916650843,Global Eye Tracking,Right,,-3.253694,2.160301,99.85139
1701916650955,Player,position,-,0.004641172,1.699818,-0.09507208
1701916650955,Player,orientation,,354.6102,356.8601,358.2765
1701916650955,Global Eye Tracking,Left,,1.26311,2.10919,99.89407
1701916650955,Global Eye Tracking,Right,,-4.079196,2.267628,99.82047
1701916651066,Player,position,-,0.005179564,1.699464,-0.09478828
1701916651066,Player,orientation,,354.7684,356.7563,358.2657
1701916651066,Global Eye Tracking,Left,,1.504061,1.407128,99.89114
1701916651066,Global Eye Tracking,Right,,-3.837076,1.566751,99.83192
1701916651178,Player,position,-,0.005808663,1.699182,-0.09443199
1701916651178,Player,orientation,,354.9091,356.7343,358.1689
1701916651178,Global Eye Tracking,Left,,1.251767,1.18211,99.8941
1701916651178,Global Eye Tracking,Right,,-4.089336,1.348643,99.82166
1701916651289,Player,position,-,0.005653,1.698126,-0.09398165
1701916651289,Player,orientation,,355.4326,356.3238,358.3323
1701916651289,Global Eye Tracking,Left,,-1.948821,-14.30241,98.59671
1701916651289,Global Eye Tracking,Right,,-7.290723,-14.15902,98.37054
1701916651401,Player,position,-,0.004552368,1.696331,-0.09352726
1701916651401,Player,orientation,,356.3236,355.3507,358.3327
1701916651401,Global Eye Tracking,Left,,-1.910276,-14.87937,98.50245
1701916651401,Global Eye Tracking,Right,,-7.251081,-14.75323,98.27698
1701916651513,Player,position,-,0.003838589,1.694804,-0.09302228
1701916651513,Player,orientation,,357.03,354.584,358.2325
1701916651513,Global Eye Tracking,Left,,-1.784353,-14.93498,98.49569
1701916651513,Global Eye Tracking,Right,,-7.122331,-14.81881,98.27673
1701916651624,Player,position,-,0.003734922,1.694048,-0.09254174
1701916651624,Player,orientation,,357.4166,354.1593,358.1809
1701916651624,Global Eye Tracking,Left,,-15.93653,-21.08537,95.96663
1701916651624,Global Eye Tracking,Right,,-21.1743,-20.81584,95.00786
1701916651736,Player,position,-,0.002316816,1.691518,-0.09112185
1701916651736,Player,orientation,,358.6715,353.1629,358.3036
1701916651736,Global Eye Tracking,Left,,-16.82317,-21.08418,95.8167
1701916651736,Global Eye Tracking,Right,,-22.05171,-20.82166,94.80795
1701916651848,Player,position,-,-0.000843592,1.68801,-0.08907616
1701916651848,Player,orientation,,0.3721556,351.4007,358.3131
1701916651848,Global Eye Tracking,Left,,-16.18245,-22.89831,95.48008
1701916651848,Global Eye Tracking,Right,,-21.42748,-22.66545,94.4987
1701916651960,Player,position,-,-0.004979035,1.684965,-0.08710228
1701916651960,Player,orientation,,1.752084,349.2559,358.1033
1701916651960,Global Eye Tracking,Left,,-18.7922,-20.23225,95.65502
1701916651960,Global Eye Tracking,Right,,-24.0118,-20.01949,94.52719
1701916652071,Player,position,-,-0.01141004,1.682171,-0.08646004
1701916652071,Player,orientation,,2.983107,345.7477,357.4633
1701916652071,Global Eye Tracking,Left,,-28.43564,-23.01675,92.5539
1701916652071,Global Eye Tracking,Right,,-33.49254,-22.68013,90.93181
1701916652183,Player,position,-,-0.01999827,1.680015,-0.08668309
1701916652183,Player,orientation,,3.899431,341.1046,356.6885
1701916652183,Global Eye Tracking,Left,,-29.45668,-23.02428,92.2335
1701916652183,Global Eye Tracking,Right,,-34.52168,-22.70732,90.54646
1701916652295,Player,position,-,-0.02768264,1.679096,-0.08688729
1701916652295,Player,orientation,,4.216834,337.4281,356.2841
1701916652295,Global Eye Tracking,Left,,-29.689,-23.20808,92.10995
1701916652295,Global Eye Tracking,Right,,-34.74847,-22.92459,90.40611
1701916652407,Player,position,-,-0.03440486,1.678408,-0.08676697
1701916652407,Player,orientation,,4.545457,334.4746,355.9439
1701916652407,Global Eye Tracking,Left,,-51.88395,-20.20265,82.57706
1701916652407,Global Eye Tracking,Right,,-56.32053,-19.65832,79.75704
1701916652518,Player,position,-,-0.03955462,1.678025,-0.08616725
1701916652518,Player,orientation,,4.745072,332.5783,355.9527
1701916652518,Global Eye Tracking,Left,,-49.86258,-18.03595,84.34843
1701916652518,Global Eye Tracking,Right,,-54.40749,-17.57104,81.60036
1701916652630,Player,position,-,-0.04386947,1.678024,-0.08555676
1701916652630,Player,orientation,,4.717621,331.0516,356.1639
1701916652630,Global Eye Tracking,Left,,-49.78347,-19.6468,84.0051
1701916652630,Global Eye Tracking,Right,,-54.33646,-19.21225,81.24798
1701916652740,Player,position,-,-0.0494974,1.678294,-0.08650512
1701916652740,Player,orientation,,4.536932,328.6555,356.7281
1701916652740,Global Eye Tracking,Left,,-48.77205,-19.47734,84.63863
1701916652740,Global Eye Tracking,Right,,-53.3628,-19.11828,81.9177
1701916652852,Player,position,-,-0.05572304,1.678364,-0.08856477
1701916652852,Player,orientation,,4.464215,325.414,356.9365
1701916652852,Global Eye Tracking,Left,,-65.2079,-11.72815,74.5851
1701916652852,Global Eye Tracking,Right,,-69.11364,-11.32896,71.04835
1701916652964,Player,position,-,-0.05942917,1.679338,-0.08895069
1701916652964,Player,orientation,,3.986024,323.6014,356.7867
1701916652964,Global Eye Tracking,Left,,-66.01305,-11.692,73.88272
1701916652964,Global Eye Tracking,Right,,-69.89699,-11.3106,70.28716
1701916653075,Player,position,-,-0.06049969,1.680326,-0.08717342
1701916653075,Player,orientation,,3.491796,323.6377,356.7873
1701916653075,Global Eye Tracking,Left,,-64.79754,-12.65014,74.77276
1701916653075,Global Eye Tracking,Right,,-68.75221,-12.27251,71.22741
1701916653187,Player,position,-,-0.06024742,1.680984,-0.08332872
1701916653187,Player,orientation,,3.061583,324.931,357.1238
1701916653187,Global Eye Tracking,Left,,-63.73122,-11.90672,75.82227
1701916653187,Global Eye Tracking,Right,,-67.73612,-11.55353,72.33117
1701916653299,Player,position,-,-0.0606752,1.680117,-0.0803176
1701916653299,Player,orientation,,3.578999,325.7343,357.2801
1701916653299,Global Eye Tracking,Left,,-63.33313,-13.26447,75.90376
1701916653299,Global Eye Tracking,Right,,-67.34449,-12.91728,72.43607
1701916653410,Player,position,-,-0.06907861,1.677482,-0.08340877
1701916653410,Player,orientation,,4.720704,320.8588,356.7225
1701916653410,Global Eye Tracking,Left,,-57.26381,-20.39958,78.91695
1701916653410,Global Eye Tracking,Right,,-61.54168,-20.09487,75.72161
1701916653522,Player,position,-,-0.08031907,1.674419,-0.09016572
1701916653522,Player,orientation,,5.840399,313.4646,355.9101
1701916653522,Global Eye Tracking,Left,,-85.17229,-18.9057,48.25338
1701916653522,Global Eye Tracking,Right,,-87.66233,-18.23096,43.84753
1701916653631,Player,position,-,-0.08890754,1.675283,-0.09432323
1701916653631,Player,orientation,,4.978513,308.7765,354.7752
1701916653631,Global Eye Tracking,Left,,-83.54893,-19.73852,50.66451
1701916653631,Global Eye Tracking,Right,,-86.25274,-19.10787,46.18879
1701916653744,Player,position,-,-0.09236769,1.675685,-0.09473179
1701916653744,Player,orientation,,4.618746,308.141,354.7274
1701916653744,Global Eye Tracking,Left,,-82.44016,-19.14328,52.68518
1701916653744,Global Eye Tracking,Right,,-85.27378,-18.51744,48.22954
1701916653855,Player,position,-,-0.09420557,1.674755,-0.09435478
1701916653855,Player,orientation,,5.119184,308.4596,355.4108
1701916653855,Global Eye Tracking,Left,,-81.70339,-19.47899,53.69077
1701916653855,Global Eye Tracking,Right,,-84.5905,-18.91759,49.25528
1701916653967,Player,position,-,-0.09554288,1.67444,-0.09521138
1701916653967,Player,orientation,,5.212876,308.088,355.5422
1701916653967,Global Eye Tracking,Left,,-76.54789,-13.38653,62.57888
1701916653967,Global Eye Tracking,Right,,-79.86597,-12.96647,58.40365
1701916654065,Player,position,-,-0.0948922,1.675567,-0.09523492
1701916654065,Player,orientation,,4.725085,308.3491,355.6431
1701916654065,Global Eye Tracking,Left,,-76.70292,-13.03236,62.47353
1701916654065,Global Eye Tracking,Right,,-80.01159,-12.62138,58.28992
1701916654175,Player,position,-,-0.09398037,1.676494,-0.09584339
1701916654175,Player,orientation,,4.305581,308.2197,355.5345
1701916654175,Global Eye Tracking,Left,,-76.97612,-12.60567,62.23565
1701916654175,Global Eye Tracking,Right,,-80.26849,-12.18603,58.04034
1701916654286,Player,position,-,-0.09298813,1.676923,-0.09633347
1701916654286,Player,orientation,,4.118751,308.2831,355.5858
1701916654286,Global Eye Tracking,Left,,-76.44128,-13.82149,62.59887
1701916654286,Global Eye Tracking,Right,,-79.7639,-13.40845,58.42647
1701916654398,Player,position,-,-0.09312361,1.677213,-0.098332
1701916654398,Player,orientation,,3.948879,307.6194,355.5471
1701916654398,Global Eye Tracking,Left,,-76.42479,-13.81374,62.6191
1701916654398,Global Eye Tracking,Right,,-79.74831,-13.40467,58.44709
1701916654509,Player,position,-,-0.0956175,1.679737,-0.1034807
1701916654509,Player,orientation,,2.582031,304.9509,355.2055
1701916654509,Global Eye Tracking,Left,,-77.02021,-12.8207,62.12425
1701916654509,Global Eye Tracking,Right,,-80.30908,-12.40875,57.92656
1701916654620,Player,position,-,-0.09688903,1.68619,-0.1079305
1701916654620,Player,orientation,,359.2484,303.1336,355.1968
1701916654620,Global Eye Tracking,Left,,-80.90061,26.36521,53.38815
1701916654620,Global Eye Tracking,Right,,-83.63311,26.74477,48.81263
1701916654730,Player,position,-,-0.09434879,1.693197,-0.1099144
1701916654730,Player,orientation,,355.8905,303.9476,355.6291
1701916654730,Global Eye Tracking,Left,,-79.53288,29.37226,53.95995
1701916654730,Global Eye Tracking,Right,,-82.31315,29.75944,49.4089
1701916654841,Player,position,-,-0.09031247,1.69737,-0.1123532
1701916654841,Player,orientation,,354.0025,304.9073,356.1268
1701916654841,Global Eye Tracking,Left,,-79.92729,29.49179,53.31149
1701916654841,Global Eye Tracking,Right,,-82.68942,29.80217,48.74884
1701916654953,Player,position,-,-0.08700594,1.69902,-0.1158175
1701916654953,Player,orientation,,353.2751,305.2426,356.5471
1701916654953,Global Eye Tracking,Left,,-80.05338,28.9141,53.41206
1701916654953,Global Eye Tracking,Right,,-82.83316,29.16247,48.8593
1701916655065,Player,position,-,-0.08427738,1.700621,-0.1194582
1701916655065,Player,orientation,,352.496,305.2292,356.7729
1701916655065,Global Eye Tracking,Left,,-80.31424,27.99368,53.47523
1701916655065,Global Eye Tracking,Right,,-83.09926,28.21495,48.92419
1701916655176,Player,position,-,-0.08181863,1.701715,-0.122236
1701916655176,Player,orientation,,351.9843,305.5042,357.0037
1701916655176,Global Eye Tracking,Left,,-80.59061,26.63834,53.70217
1701916655176,Global Eye Tracking,Right,,-83.38367,26.84776,49.15527
1701916655288,Player,position,-,-0.07872669,1.702433,-0.1228975
1701916655288,Player,orientation,,351.7254,306.5312,357.1641
1701916655288,Global Eye Tracking,Left,,-67.52325,11.06244,73.10648
1701916655288,Global Eye Tracking,Right,,-71.27954,11.41829,69.42709
1701916655400,Player,position,-,-0.07563616,1.703133,-0.1224703
1701916655400,Player,orientation,,351.4845,307.6749,357.1055
1701916655400,Global Eye Tracking,Left,,-68.12777,8.733431,72.80581
1701916655400,Global Eye Tracking,Right,,-71.88297,9.052061,69.09232
1701916655511,Player,position,-,-0.07208189,1.702377,-0.1196907
1701916655511,Player,orientation,,352.0397,309.8094,356.8552
1701916655511,Global Eye Tracking,Left,,-68.59412,8.020221,72.43294
1701916655511,Global Eye Tracking,Right,,-72.33969,8.340045,68.68469
1701916655623,Player,position,-,-0.0664589,1.698692,-0.1132493
1701916655623,Player,orientation,,354.1249,314.1411,356.6453
1701916655623,Global Eye Tracking,Left,,-66.92171,8.460074,73.94036
1701916655623,Global Eye Tracking,Right,,-70.76384,8.799476,70.25549
1701916655734,Player,position,-,-0.06125787,1.690174,-0.1057528
1701916655734,Player,orientation,,358.7149,318.9715,356.356
1701916655734,Global Eye Tracking,Left,,-61.06767,-24.71111,74.59473
1701916655734,Global Eye Tracking,Right,,-65.14762,-24.4803,71.15946
1701916655845,Player,position,-,-0.05443635,1.683916,-0.09792288
1701916655845,Player,orientation,,1.769583,324.5331,356.7518
1701916655845,Global Eye Tracking,Left,,-57.8008,-28.57586,75.72423
1701916655845,Global Eye Tracking,Right,,-62.01557,-28.28217,72.44555
1701916655956,Player,position,-,-0.03317827,1.67895,-0.08577165
1701916655956,Player,orientation,,4.461565,339.3171,0.1351241
1701916655956,Global Eye Tracking,Left,,-27.17036,-30.10653,90.75244
1701916655956,Global Eye Tracking,Right,,-32.16911,-30.24476,89.07005
1701916656068,Player,position,-,-0.01583165,1.678611,-0.07956114
1701916656068,Player,orientation,,4.406231,349.8127,1.206311
1701916656068,Global Eye Tracking,Left,,-3.146875,-26.19458,95.89733
1701916656068,Global Eye Tracking,Right,,-8.376131,-26.56577,95.48778
1701916656165,Player,position,-,-0.009144975,1.679494,-0.07814318
1701916656165,Player,orientation,,4.084924,353.1366,0.5199876
1701916656165,Global Eye Tracking,Left,,-1.458307,-25.85039,96.04242
1701916656165,Global Eye Tracking,Right,,-6.768365,-26.08641,95.75429
1701916656277,Player,position,-,-0.00640332,1.680827,-0.07828639
1701916656277,Player,orientation,,3.539818,354.3244,359.8456
1701916656277,Global Eye Tracking,Left,,-2.840672,-25.05411,96.23824
1701916656277,Global Eye Tracking,Right,,-8.173229,-25.14533,95.91113
1701916656388,Player,position,-,-0.006450566,1.681285,-0.07918355
1701916656388,Player,orientation,,3.382803,354.2564,359.6464
1701916656388,Global Eye Tracking,Left,,-1.05558,-27.64522,95.51601
1701916656388,Global Eye Tracking,Right,,-6.39084,-27.7117,95.2919
1701916656499,Player,position,-,-0.005965281,1.681223,-0.08005095
1701916656499,Player,orientation,,3.391897,354.0737,359.4776
1701916656499,Global Eye Tracking,Left,,8.458092,-49.42848,85.44878
1701916656499,Global Eye Tracking,Right,,3.182576,-49.80052,85.59618
1701916656611,Player,position,-,-0.003534563,1.679496,-0.08063326
1701916656611,Player,orientation,,4.130035,354.3807,359.1373
1701916656611,Global Eye Tracking,Left,,9.035609,-49.51945,85.33462
1701916656611,Global Eye Tracking,Right,,3.769366,-49.89919,85.51304
1701916656722,Player,position,-,0.002420688,1.677468,-0.08011562
1701916656722,Player,orientation,,4.909647,356.618,358.8365
1701916656722,Global Eye Tracking,Left,,8.071148,-50.34383,84.93527
1701916656722,Global Eye Tracking,Right,,2.77433,-50.60268,85.12383
1701916656834,Player,position,-,0.005753569,1.676809,-0.0801702
1701916656834,Player,orientation,,5.20032,357.3654,358.4108
1701916656834,Global Eye Tracking,Left,,4.410131,-52.51577,83.84386
1701916656834,Global Eye Tracking,Right,,-0.9257003,-52.59425,83.90898
1701916656945,Player,position,-,0.006304482,1.677634,-0.08058429
1701916656945,Player,orientation,,4.854264,357.1001,358.1701
1701916656945,Global Eye Tracking,Left,,3.882247,-52.75377,83.71556
1701916656945,Global Eye Tracking,Right,,-1.455212,-52.7877,83.77554
1701916657056,Player,position,-,0.005896868,1.677515,-0.0808218
1701916657056,Player,orientation,,4.919851,356.7026,358.2069
1701916657056,Global Eye Tracking,Left,,3.54634,-52.92591,83.61749
1701916657056,Global Eye Tracking,Right,,-1.790269,-52.96127,83.65538
1701916657168,Player,position,-,0.005406816,1.675659,-0.08106668
