unix_ms,event_type,title,description,x,y,z
1701917604658,Simulation,Trial 1 Start,,0,0,0
1701917604675,Player,position,SouthSidewalk,0,0,0
1701917604675,Player,orientation,,0,0,0
1701917604929,Player,position,SouthSidewalk,0.05183728,1.868286,0.01021086
1701917604929,Player,orientation,,349.9519,15.31402,7.59214
1701917604929,Global Eye Tracking,Left,NorthBuildings_NoColliders,0,0,13.8
1701917604929,Relative Eye Tracking,Left,NorthBuildings_NoColliders,0,0,5.000001
1701917604929,Global Eye Tracking,Right,NorthBuildings_NoColliders,0,0,13.8
1701917604929,Relative Eye Tracking,Right,NorthBuildings_NoColliders,0,0,5.000001
1701917604929,Combined Eye Tracking,Center,NorthBuildings_NoColliders,0,0,13.8
1701917605030,Player,position,SouthSidewalk,0.06087411,1.862235,0.0155806
1701917605030,Player,orientation,,351.7398,19.26418,8.601282
1701917605030,Global Eye Tracking,Left,NorthBuildings_NoColliders,0,0,13.8
1701917605030,Relative Eye Tracking,Left,NorthBuildings_NoColliders,0,0,5.000001
1701917605030,Global Eye Tracking,Right,NorthBuildings_NoColliders,0,0,13.8
1701917605030,Relative Eye Tracking,Right,NorthBuildings_NoColliders,0,0,5.000001
1701917605030,Combined Eye Tracking,Center,NorthBuildings_NoColliders,0,0,13.8
1701917605135,Player,position,SouthSidewalk,0.06331416,1.856177,0.02164098
1701917605135,Player,orientation,,354.4279,20.16088,8.625899
1701917605135,Global Eye Tracking,Left,NorthBuildings_NoColliders,4.384258,2.95939,13.8
1701917605135,Relative Eye Tracking,Left,NorthBuildings_NoColliders,-4.384258,2.95939,5.000001
1701917605135,Global Eye Tracking,Right,NorthBuildings_NoColliders,3.65249,2.833859,13.8
1701917605135,Relative Eye Tracking,Right,NorthBuildings_NoColliders,-3.65249,2.833859,5.000001
1701917605135,Combined Eye Tracking,Center,NorthBuildings_NoColliders,3.788655,3.773345,13.70034
1701917605243,Player,position,SouthSidewalk,0.05731339,1.853899,0.02703484
1701917605243,Player,orientation,,356.3242,16.55737,6.246556
1701917605243,Global Eye Tracking,Left,NorthBuildings_NoColliders,4.124714,2.701263,13.8
1701917605243,Relative Eye Tracking,Left,NorthBuildings_NoColliders,-4.124714,2.701263,5.000001
1701917605243,Global Eye Tracking,Right,NorthBuildings_NoColliders,3.399896,2.591792,13.8
1701917605243,Relative Eye Tracking,Right,NorthBuildings_NoColliders,-3.399896,2.591792,5.000001
1701917605243,Combined Eye Tracking,Center,NorthBuildings_NoColliders,3.904983,2.655716,13.70182
1701917605353,Player,position,SouthSidewalk,0.04352317,1.852968,0.02892074
1701917605353,Player,orientation,,358.1645,8.937772,2.343528
1701917605353,Global Eye Tracking,Left,NorthBuildings_NoColliders,3.273955,2.39508,13.8
1701917605353,Relative Eye Tracking,Left,NorthBuildings_NoColliders,-3.273955,2.39508,5.000001
1701917605353,Global Eye Tracking,Right,NorthBuildings_NoColliders,2.565808,2.324393,13.8
1701917605353,Relative Eye Tracking,Right,NorthBuildings_NoColliders,-2.565808,2.324393,5.000001
1701917605353,Combined Eye Tracking,Center,NorthBuildings_NoColliders,2.902961,2.347423,13.72911
1701917605457,Player,position,SouthSidewalk,0.02980136,1.853912,0.02696829
1701917605457,Player,orientation,,358.8605,1.526344,359.0008
1701917605457,Global Eye Tracking,Left,NorthBuildings_NoColliders,-1.272648,1.02116,13.8
1701917605457,Relative Eye Tracking,Left,NorthBuildings_NoColliders,1.272648,1.02116,5.000001
1701917605457,Global Eye Tracking,Right,NorthBuildings_NoColliders,-1.942853,1.004406,13.8
1701917605457,Relative Eye Tracking,Right,NorthBuildings_NoColliders,1.942853,1.004406,5.000001
1701917605457,Combined Eye Tracking,Center,NorthBuildings_NoColliders,-1.602917,1.010336,13.76635
1701917605565,Player,position,SouthSidewalk,0.02300315,1.855871,0.02674366
1701917605565,Player,orientation,,358.0588,358.5984,357.3718
1701917605565,Global Eye Tracking,Left,NorthBuildings_NoColliders,-0.8197273,1.055352,13.8
1701917605565,Relative Eye Tracking,Left,NorthBuildings_NoColliders,0.8197273,1.055352,5.000001
1701917605565,Global Eye Tracking,Right,NorthBuildings_NoColliders,-1.504581,1.077327,13.8
1701917605565,Relative Eye Tracking,Right,NorthBuildings_NoColliders,1.504581,1.077327,5.000001
1701917605565,Combined Eye Tracking,Center,NorthBuildings_NoColliders,-1.470528,1.074603,13.76767
1701917605668,Player,position,SouthSidewalk,0.02258186,1.852792,0.02690408
1701917605668,Player,orientation,,0.03583661,0.3566685,357.7439
1701917605668,Global Eye Tracking,Left,NorthBuildings_NoColliders,-0.57486,0.9155426,13.8
1701917605668,Relative Eye Tracking,Left,NorthBuildings_NoColliders,0.57486,0.9155426,5.000001
1701917605668,Global Eye Tracking,Right,NorthBuildings_NoColliders,-1.259286,0.9435434,13.8
1701917605668,Relative Eye Tracking,Right,NorthBuildings_NoColliders,1.259286,0.9435434,5.000001
1701917605668,Combined Eye Tracking,Center,NorthBuildings_NoColliders,-0.9640618,1.031619,13.77949
1701917605773,Player,position,SouthSidewalk,0.03576362,1.850357,0.02498768
1701917605773,Player,orientation,,1.359067,10.9772,358.9957
1701917605773,Global Eye Tracking,Left,NorthBuildings_NoColliders,1.424427,1.48001,13.8
1701917605773,Relative Eye Tracking,Left,NorthBuildings_NoColliders,-1.424427,1.48001,5.000001
1701917605773,Global Eye Tracking,Right,NorthBuildings_NoColliders,0.7394632,1.503675,13.8
1701917605773,Relative Eye Tracking,Right,NorthBuildings_NoColliders,-0.7394632,1.503675,5.000001
1701917605773,Combined Eye Tracking,Center,NorthBuildings_NoColliders,-0.4902721,1.052245,13.79115
1701917605878,Player,position,SouthSidewalk,0.0702408,1.848154,0.006796848
1701917605878,Player,orientation,,1.699432,38.60122,1.046123
1701917605878,Global Eye Tracking,Left,NorthBuildings_NoColliders,15.75154,3.066631,13.8
1701917605878,Relative Eye Tracking,Left,NorthBuildings_NoColliders,-15.75154,3.066631,5.000001
1701917605878,Global Eye Tracking,Right,NorthBuildings_NoColliders,14.39288,3.046592,13.8
1701917605878,Relative Eye Tracking,Right,NorthBuildings_NoColliders,-14.39288,3.046592,5.000001
1701917605878,Combined Eye Tracking,Center,NorthBuildings_NoColliders,6.675065,2.755632,13.64769
1701917605985,Player,position,SouthSidewalk,0.08375864,1.845266,-0.01094934
1701917605985,Player,orientation,,2.090126,54.84676,3.124846
1701917605985,Global Eye Tracking,Left,NorthBuildings_NoColliders,50.41029,1.514457,13.8
1701917605985,Relative Eye Tracking,Left,NorthBuildings_NoColliders,-50.41029,1.514457,5.000001
1701917605985,Global Eye Tracking,Right,NorthBuildings_NoColliders,42.81794,1.489676,13.8
1701917605985,Relative Eye Tracking,Right,NorthBuildings_NoColliders,-42.81794,1.489676,5.000001
1701917605985,Combined Eye Tracking,Center,NorthBuildings_NoColliders,43.11771,1.397051,12.84311
1701917606089,Player,position,SouthSidewalk,0.09000389,1.838985,-0.02994162
1701917606089,Player,orientation,,3.194937,68.78645,3.964205
1701917606089,Global Eye Tracking,Left,SouthWalkingPole,3.410994,1.782804,0.795588
1701917606089,Relative Eye Tracking,Left,SouthWalkingPole,-0.08900595,1.782804,0.04558802
1701917606089,Global Eye Tracking,Right,NorthBuildings_NoColliders,48.01045,0.8287158,13.8
1701917606089,Relative Eye Tracking,Right,NorthBuildings_NoColliders,-48.01045,0.8287158,5.000001
1701917606089,Combined Eye Tracking,Center,SouthWalkingPole,3.68969,0.9486377,0.9656605
1701917606201,Player,position,SouthSidewalk,0.08482672,1.83749,-0.04742722
1701917606201,Player,orientation,,3.205865,80.55006,5.218954
1701917606201,Combined Eye Tracking,Center,SE_Tree_10,11.08898,1.231152,0.4849866
1701917606310,Player,position,SouthSidewalk,0.07573731,1.841143,-0.05331629
1701917606310,Player,orientation,,1.313378,84.15679,3.844564
1701917606310,Global Eye Tracking,Right,SE_Tree_30,29.87026,2.062143,0.9268889
1701917606310,Relative Eye Tracking,Right,SE_Tree_30,0.001297398,-0.0007239151,0.02062169
1701917606310,Combined Eye Tracking,Center,SE_Tree_70,71.16724,2.874777,-0.6437263
1701917606407,Player,position,SouthSidewalk,0.06959242,1.842598,-0.05372646
1701917606407,Player,orientation,,0.67054,84.73669,3.773063
